1: photo of 68 years old asian man, disgusted emotion, white hair, mountain background, super detailed and high quality, polaroid, shot on 28mm, f/1.4, 4k, seed=228798592
2: photo of 68 years old black man, happy emotion, blond hair, forest background, super detailed and high quality, Leica, shot on 28mm, f/4, 4k, seed=177111171
3: photo of 78 years old white woman, surprised emotion, white hair, beach background, super detailed and high quality, Nikon, Fisheye Lens, f/8, 4k, seed=251843197
4: photo of 48 years old white man, happy emotion, black hair, indoor background, super detailed and high quality, Hasselblad, shot on 148mm, f/11, 4k, seed=843812100
5: photo of 78 years old asian woman, sad emotion, gray hair, nature background, super detailed and high quality, GoPro, shot on 148mm, f/1.4, 4k, seed=530809728
6: photo of 68 years old white woman, disgusted emotion, blond hair, desert background, super detailed and high quality, Kodachrome, shot on 148mm, f/1.2, 4k, seed=736562831
7: photo of 78 years old asian woman, sad emotion, blond hair, beach background, super detailed and high quality, Fujifilm, Fisheye Lens, f/11, 4k, seed=630696360
8: photo of 68 years old white woman, happy emotion, black hair, beach background, super detailed and high quality, GoPro, Fisheye Lens, f/1.2, 4k, seed=883764560
9: photo of 18 years old black woman, disgusted emotion, gray hair, street background, super detailed and high quality, polaroid, shot on 8mm, f/16, 4k, seed=955720721
10: photo of 28 years old black man, angry emotion, white hair, indoor background, super detailed and high quality, GoPro, shot on 98mm, f/16, 4k, seed=521304051
11: photo of 48 years old white man, scared emotion, red hair, sky background, super detailed and high quality, Sony, shot on 28mm, f/1.4, 4k, seed=859253089
12: photo of 18 years old asian woman, happy emotion, red hair, nature background, super detailed and high quality, Leica, shot on 8mm, f/2.8, 4k, seed=358019620
13: photo of 8 years old black boy, disgusted emotion, gray hair, city background, super detailed and high quality, Leica, shot on 148mm, f/2.8, 4k, seed=535986297
14: photo of 68 years old white man, sad emotion, gray hair, beach background, super detailed and high quality, Leica, Fisheye Lens, f/4, 4k, seed=490407555
15: photo of 18 years old black man, scared emotion, black hair, mountain background, super detailed and high quality, Canon, shot on 98mm, f/1.2, 4k, seed=645599824
